,date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
199,2021-12-21,12:49,12:49 PM,152.705,152.705,152.705,152.705,152.705,10,1527.05,1,A
200,2021-12-21,12:50,12:50 PM,,,,,,0,0.0,0,A
201,2021-12-21,12:51,12:51 PM,152.71,152.71,152.71,152.71,152.71,10,1527.1,1,A
202,2021-12-21,12:52,12:52 PM,152.8,152.77,152.8,152.77,152.78,300,45834.0,4,A
203,2021-12-21,12:53,12:53 PM,152.9,152.74,152.8,152.885,152.827,826,126235.365,15,A
204,2021-12-21,12:54,12:54 PM,152.885,152.755,152.885,152.79,152.866,120,18343.95,3,A
205,2021-12-21,12:55,12:55 PM,152.85,152.83,152.845,152.85,152.844,177,27053.35,3,A
206,2021-12-21,12:56,12:56 PM,152.8,152.8,152.8,152.8,152.8,316,48284.8,4,A
207,2021-12-21,12:57,12:57 PM,152.79,152.79,152.79,152.79,152.79,100,15279.0,1,A
208,2021-12-21,12:58,12:58 PM,152.78,152.72,152.74,152.78,152.758,87,13289.96,4,A
209,2021-12-21,12:59,12:59 PM,152.825,152.76,152.76,152.825,152.798,439,67078.175,5,A
210,2021-12-21,13:00,1 PM,152.835,152.78,152.83,152.8,152.809,533,81447.24,7,A
211,2021-12-21,13:01,1:01 PM,152.905,152.85,152.85,152.87,152.86,201,30724.905,3,A
212,2021-12-21,13:02,1:02 PM,152.85,152.85,152.85,152.85,152.85,100,15285.0,1,A
213,2021-12-21,13:03,1:03 PM,,,,,,0,0.0,0,A
214,2021-12-21,13:04,1:04 PM,152.89,152.89,152.89,152.89,152.89,11,1681.79,2,A
215,2021-12-21,13:05,1:05 PM,152.93,152.9,152.93,152.91,152.912,400,61165.0,4,A
216,2021-12-21,13:06,1:06 PM,,,,,,0,0.0,0,A
217,2021-12-21,13:07,1:07 PM,,,,,,0,0.0,0,A
218,2021-12-21,13:08,1:08 PM,152.93,152.92,152.92,152.93,152.923,309,47253.35,6,A
219,2021-12-21,13:09,1:09 PM,,,,,,0,0.0,0,A
220,2021-12-21,13:10,1:10 PM,152.985,152.97,152.97,152.985,152.98,300,45894.0,4,A
221,2021-12-21,13:11,1:11 PM,152.82,152.8,152.82,152.8,152.82,104,15893.24,4,A
222,2021-12-21,13:12,1:12 PM,,,,,,0,0.0,0,A
223,2021-12-21,13:13,1:13 PM,152.81,152.76,152.81,152.76,152.802,225,34380.5,3,A
